firebase_id,prolific_id,condition_name,visualization_condition,prompt_order,s2_prompt_type,pre_predictability,pre_negative_predictability,pre_trust,final_predictability_post,final_negative_predictability_post,final_trust_post,shift_predictability,shift_neg_predictability,shift_trust,final_viz_helpfulness,final_viz_anticipation,final_viz_prediction,final_viz_referenced,final_viz_confidence,final_viz_frequency,final_viz_comprehension,final_drift_panel_helpful,final_ueq_obstructive_supportive,final_ueq_complicated_easy,final_ueq_inefficient_efficient,final_ueq_confusing_clear,final_ueq_boring_exciting,final_ueq_not_interesting_interesting,final_ueq_conventional_inventive,final_ueq_usual_leading_edge,ueq_pragmatic,ueq_hedonic,ueq_overall
EyQzutP8VtTr2qpR6k8veOsY0rf2,62fba37f3560a85b4eb94aac,single_turn,1,asst_first,ROLEPLY,4,5,3,4.0,2.0,3.0,0.0,-3.0,0.0,7.0,5.0,4.0,5.0,6.0,4.0,6.0,,6.0,3.0,7.0,7.0,4.0,7.0,6.0,6.0,5.75,5.75,5.75
FpQwrreSh1WLkQI2CmQGJwKcjgC3,69bff805b09c402000e9e598,multi_turn,2,asst_first,ROLEPLY,6,6,1,5.0,6.0,1.0,-1.0,0.0,0.0,7.0,2.0,2.0,5.0,2.0,5.0,4.0,5.0,3.0,5.0,2.0,4.0,2.0,2.0,2.0,3.0,3.5,2.25,2.875
Gj8xVAZyc7cF5IZ2PKtf2RDzc603,66fceda149718a86f36761b4,single_turn,1,asst_first,ROLEPLY,5,4,6,5.0,5.0,6.0,0.0,1.0,0.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
GywK2F39sZUQhsrNYSDMJ9Z637o2,69601c5669915b29e2ee7c00,multi_turn,2,roleply_first,ASST,5,6,3,7.0,6.0,3.0,2.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.5,6.75
HVjSSNeWwrc7mcdD66i48Nkk6CQ2,69bb5d0e58b8b38af6ea30eb,multi_turn,2,roleply_first,ASST,3,3,3,2.0,2.0,2.0,-1.0,-1.0,-1.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,6.0,5.0,4.0,6.0,6.0,5.0,6.0,6.0,6.0,5.25,5.75,5.5
HqqroAzoioh7pp3jo9WvNNwvtlt2,66999b706aa1ff4d31fa559a,control,0,asst_first,ROLEPLY,4,4,5,4.0,5.0,5.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
IeeIVDaEZYbPzkR4oMDwpKZQKtx1,67e70a61f963fecfc78db7ab,single_turn,1,roleply_first,ASST,3,3,3,5.0,5.0,4.0,2.0,2.0,1.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,,6.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.25,4.0,4.625
KC3P2ixnHtUuafxtyfPI78E5EXv1,6998f995e8c98005554cee72,multi_turn,2,asst_first,ROLEPLY,4,4,3,3.0,2.0,2.0,-1.0,-2.0,-1.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.75,5.875
KP6aXH1e38dOsWPJFbctyuXD0zs2,59c0782e5364260001dc4740,multi_turn,2,roleply_first,ASST,4,4,4,5.0,5.0,6.0,1.0,1.0,2.0,6.0,5.0,5.0,5.0,5.0,7.0,5.0,7.0,4.0,4.0,7.0,5.0,4.0,7.0,4.0,6.0,5.0,5.25,5.125
LsHViwLDhYZqPXclEcCXLSREbyF2,6933a234773555df88857a03,multi_turn,2,roleply_first,ASST,4,5,5,5.0,3.0,5.0,1.0,-2.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,7.0,7.0,7.0,5.0,6.0,6.0,5.0,2.0,6.5,4.75,5.625
LsuxJf7jgfW2FYBfK442X9dMDdc2,69c55b66d8ade7f9bd6109d6,control,0,asst_first,ROLEPLY,5,6,6,6.0,5.0,5.0,1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,
M0k11z2CKedglqeY09tfoVF0w5l1,676f674b28634d645fe4ab35,multi_turn,2,asst_first,ROLEPLY,5,4,4,5.0,5.0,4.0,0.0,1.0,0.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,6.5,6.75
M1jeAu0Se5OZu3AdYmQ6Wy02BoK2,69458f2aa5309848951f9026,multi_turn,2,asst_first,ROLEPLY,5,6,6,5.0,3.0,4.0,0.0,-3.0,-2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.25,5.25,5.25
